country,city,aqi,aqi_category,co,co_aqi_category,o3,ozone_aqi_category,no2,no2_aqi_category,pm25,pm2.5_aqi_category,lat,lon,cluster,severity,point_type
India,Anjangaon,114,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,114,Unhealthy for Sensitive Groups,21.15,77.28,-1,NOISE,noise
India,Khammam,112,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,112,Unhealthy for Sensitive Groups,17.2473,80.1514,-1,NOISE,noise
India,Bodhan,112,Unhealthy for Sensitive Groups,1,Good,29,Good,0,Good,112,Unhealthy for Sensitive Groups,18.67,77.9,-1,NOISE,noise
India,Umarkhed,110,Unhealthy for Sensitive Groups,1,Good,35,Good,0,Good,110,Unhealthy for Sensitive Groups,19.6,77.7,-1,NOISE,noise
India,Sopur,108,Unhealthy for Sensitive Groups,1,Good,49,Good,0,Good,108,Unhealthy for Sensitive Groups,34.3,74.47,-1,NOISE,noise
India,Songadh,107,Unhealthy for Sensitive Groups,1,Good,24,Good,2,Good,107,Unhealthy for Sensitive Groups,21.167,73.564,-1,NOISE,noise
India,Jalgaon,102,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,102,Unhealthy for Sensitive Groups,21.004,75.568,-1,NOISE,noise
India,Bandipur,102,Unhealthy for Sensitive Groups,1,Good,48,Good,0,Good,102,Unhealthy for Sensitive Groups,27.9381,84.4069,-1,NOISE,noise
India,Medak,101,Unhealthy for Sensitive Groups,1,Good,27,Good,0,Good,101,Unhealthy for Sensitive Groups,18.046,78.263,-1,NOISE,noise
India,Jangaon,101,Unhealthy for Sensitive Groups,1,Good,28,Good,0,Good,101,Unhealthy for Sensitive Groups,17.7227,79.1518,-1,NOISE,noise
India,Pandharpur,99,Moderate,1,Good,31,Good,1,Good,99,Moderate,17.6778,75.3278,-1,NOISE,noise
India,Gulbarga,99,Moderate,1,Good,38,Good,0,Good,99,Moderate,17.329,76.825,-1,NOISE,noise
India,Jevargi,97,Moderate,1,Good,38,Good,0,Good,97,Moderate,17.0139,76.7732,-1,NOISE,noise
India,Nellikkuppam,94,Moderate,1,Good,39,Good,2,Good,94,Moderate,11.7667,79.6833,-1,NOISE,noise
India,Devarkonda,93,Moderate,1,Good,27,Good,0,Good,93,Moderate,16.6919,78.9207,-1,NOISE,noise
India,Mangalagiri,93,Moderate,1,Good,26,Good,1,Good,93,Moderate,16.43,80.55,-1,NOISE,noise
India,Lala,87,Moderate,1,Good,36,Good,0,Good,87,Moderate,7.9667,123.75,-1,NOISE,noise
India,Avanigadda,85,Moderate,1,Good,29,Good,1,Good,85,Moderate,16.0197,80.92,-1,NOISE,noise
India,Karambakkudi,84,Moderate,1,Good,40,Good,1,Good,84,Moderate,10.4587,79.141,-1,NOISE,noise
India,Shertallai,84,Moderate,1,Good,24,Good,0,Good,84,Moderate,9.6869,76.3361,-1,NOISE,noise
India,Alwaye,83,Moderate,1,Good,25,Good,1,Good,83,Moderate,10.1167,76.35,-1,NOISE,noise
India,Ongole,83,Moderate,1,Good,33,Good,0,Good,83,Moderate,15.506,80.049,-1,NOISE,noise
India,Chidambaram,82,Moderate,1,Good,41,Good,1,Good,82,Moderate,11.407,79.6912,-1,NOISE,noise
India,Chinna Salem,81,Moderate,1,Good,43,Good,2,Good,81,Moderate,11.6342,78.8741,-1,NOISE,noise
India,Kottayam,79,Moderate,1,Good,23,Good,1,Good,79,Moderate,9.5947,76.4856,-1,NOISE,noise
India,Tambaram,79,Moderate,1,Good,30,Good,1,Good,79,Moderate,12.831,80.0459,-1,NOISE,noise
India,Sattenapalle,77,Moderate,1,Good,49,Good,0,Good,77,Moderate,16.3962,80.1497,-1,NOISE,noise
India,Ratnagiri,74,Moderate,1,Good,23,Good,2,Good,74,Moderate,13.8111,77.1301,-1,NOISE,noise
India,Kombai,73,Moderate,1,Good,14,Good,4,Good,73,Moderate,10.6143,78.1212,-1,NOISE,noise
India,Kombai,73,Moderate,1,Good,14,Good,4,Good,73,Moderate,9.8475,77.296,-1,NOISE,noise
India,Iluppur,72,Moderate,1,Good,35,Good,0,Good,72,Moderate,10.5137,78.6216,-1,NOISE,noise
India,Chikodi,72,Moderate,1,Good,30,Good,1,Good,72,Moderate,16.43,74.6,-1,NOISE,noise
India,Malavalli,71,Moderate,1,Good,19,Good,4,Good,71,Moderate,12.38,77.08,-1,NOISE,noise
India,Kodumudi,71,Moderate,1,Good,30,Good,0,Good,71,Moderate,11.0769,77.8876,-1,NOISE,noise
India,Kushtagi,69,Moderate,1,Good,32,Good,2,Good,69,Moderate,15.7562,76.1911,-1,NOISE,noise
India,Kadiri,69,Moderate,1,Good,26,Good,4,Good,69,Moderate,14.12,78.17,-1,NOISE,noise
India,Addanki,69,Moderate,1,Good,29,Good,0,Good,69,Moderate,15.811,79.9738,-1,NOISE,noise
India,Channapatna,68,Moderate,1,Good,20,Good,4,Good,68,Moderate,12.6514,77.2067,-1,NOISE,noise
India,Kunnamkulam,68,Moderate,1,Good,26,Good,0,Good,68,Moderate,10.65,76.08,-1,NOISE,noise
India,Kulu,68,Moderate,1,Good,48,Good,0,Good,68,Moderate,39.0892,33.0806,-1,NOISE,noise
India,Kulu,68,Moderate,1,Good,48,Good,0,Good,68,Moderate,31.96,77.1,-1,NOISE,noise
India,Manjeri,67,Moderate,1,Good,24,Good,1,Good,67,Moderate,11.1197,76.131,-1,NOISE,noise
India,Nattam,67,Moderate,1,Good,34,Good,1,Good,67,Moderate,10.2249,78.231,-1,NOISE,noise
India,Mudgal,66,Moderate,1,Good,38,Good,0,Good,66,Moderate,16.0119,76.442,-1,NOISE,noise
India,Varkkallai,66,Moderate,1,Good,28,Good,0,Good,66,Moderate,8.734,76.7256,-1,NOISE,noise
India,Attingal,65,Moderate,1,Good,28,Good,0,Good,65,Moderate,8.68,76.83,-1,NOISE,noise
India,Thiruvananthapuram,65,Moderate,1,Good,28,Good,0,Good,65,Moderate,8.4875,76.9525,-1,NOISE,noise
India,Guntakal,65,Moderate,1,Good,29,Good,3,Good,65,Moderate,15.17,77.38,-1,NOISE,noise
India,Sivagiri,65,Moderate,1,Good,24,Good,3,Good,65,Moderate,9.33,77.43,-1,NOISE,noise
India,Sivagiri,65,Moderate,1,Good,24,Good,3,Good,65,Moderate,11.12,77.8,-1,NOISE,noise
India,Narasaraopet,65,Moderate,1,Good,48,Good,0,Good,65,Moderate,16.25,80.07,-1,NOISE,noise
India,Talipparamba,65,Moderate,1,Good,20,Good,2,Good,65,Moderate,12.0368,75.3601,-1,NOISE,noise
India,Gunupur,65,Moderate,1,Good,36,Good,1,Good,65,Moderate,19.08,83.82,-1,NOISE,noise
India,Kambam,64,Moderate,1,Good,18,Good,3,Good,64,Moderate,9.7375,77.2823,-1,NOISE,noise
India,Pattukkottai,63,Moderate,1,Good,35,Good,0,Good,63,Moderate,10.43,79.32,-1,NOISE,noise
