country,city,aqi,aqi_category,co,co_aqi_category,o3,ozone_aqi_category,no2,no2_aqi_category,pm25,pm2.5_aqi_category,lat,lon,cluster,point_type,severity,hotspot_rank
India,Anjangaon,114,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,114,Unhealthy for Sensitive Groups,21.15,77.28,-1,noise,NOISE,-1.0
Dominican Republic,Villa Altagracia,114,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,114,Unhealthy for Sensitive Groups,18.6667,-70.1667,8,border,LOW,9.0
Pakistan,Daulatpur,114,Unhealthy for Sensitive Groups,1,Good,25,Good,2,Good,114,Unhealthy for Sensitive Groups,25.3682,87.8983,-1,noise,NOISE,-1.0
Russian Federation,Yasnyy,114,Unhealthy for Sensitive Groups,1,Good,33,Good,0,Good,114,Unhealthy for Sensitive Groups,51.05,59.9667,-1,noise,NOISE,-1.0
Philippines,Quezon,113,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,113,Unhealthy for Sensitive Groups,17.3119,121.605,0,core,LOW,83.0
Philippines,Quezon,113,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,113,Unhealthy for Sensitive Groups,15.5542,120.8111,0,core,LOW,83.0
Albania,Burrel,113,Unhealthy for Sensitive Groups,1,Good,43,Good,0,Good,113,Unhealthy for Sensitive Groups,41.6083,20.0111,1,core,LOW,146.0
Philippines,Quezon,113,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,113,Unhealthy for Sensitive Groups,9.235,117.9967,-1,noise,NOISE,-1.0
Mali,Kayes,113,Unhealthy for Sensitive Groups,1,Good,28,Good,1,Good,113,Unhealthy for Sensitive Groups,14.45,-11.4167,-1,noise,NOISE,-1.0
Mali,Kayes,113,Unhealthy for Sensitive Groups,1,Good,28,Good,1,Good,113,Unhealthy for Sensitive Groups,-4.1681,13.2939,-1,noise,NOISE,-1.0
United States of America,Vega Alta,113,Unhealthy for Sensitive Groups,1,Good,24,Good,0,Good,113,Unhealthy for Sensitive Groups,18.4151,-66.3211,2,core,LOW,33.0
Philippines,Quezon,113,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,113,Unhealthy for Sensitive Groups,7.7306,125.1,3,core,LOW,113.0
Switzerland,Wetzikon,113,Unhealthy for Sensitive Groups,1,Good,28,Good,2,Good,113,Unhealthy for Sensitive Groups,47.3167,8.8,1,core,LOW,146.0
Switzerland,Thalwil,113,Unhealthy for Sensitive Groups,1,Good,27,Good,3,Good,113,Unhealthy for Sensitive Groups,47.2833,8.5667,1,core,LOW,146.0
Philippines,Quezon,113,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,113,Unhealthy for Sensitive Groups,16.4894,121.2639,0,core,LOW,83.0
Philippines,Quezon,113,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,113,Unhealthy for Sensitive Groups,14.05,122.1333,0,core,LOW,83.0
Venezuela (Bolivarian Republic of),Porlamar,113,Unhealthy for Sensitive Groups,1,Good,20,Good,1,Good,113,Unhealthy for Sensitive Groups,10.9556,-63.8478,-1,noise,NOISE,-1.0
Senegal,Matam,113,Unhealthy for Sensitive Groups,1,Good,15,Good,2,Good,113,Unhealthy for Sensitive Groups,15.6167,-13.3333,-1,noise,NOISE,-1.0
Cuba,Abreus,112,Unhealthy for Sensitive Groups,1,Good,21,Good,3,Good,112,Unhealthy for Sensitive Groups,22.2806,-80.5678,4,core,LOW,40.0
India,Khammam,112,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,112,Unhealthy for Sensitive Groups,17.2473,80.1514,-1,noise,NOISE,-1.0
Italy,Como,112,Unhealthy for Sensitive Groups,1,Good,34,Good,4,Good,112,Unhealthy for Sensitive Groups,45.8103,9.0861,5,core,LOW,61.0
,Nagua,112,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,112,Unhealthy for Sensitive Groups,19.38,-69.85,-1,noise,NOISE,-1.0
Philippines,Mambajao,112,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,112,Unhealthy for Sensitive Groups,9.25,124.7167,3,core,LOW,113.0
India,Bodhan,112,Unhealthy for Sensitive Groups,1,Good,29,Good,0,Good,112,Unhealthy for Sensitive Groups,18.67,77.9,-1,noise,NOISE,-1.0
Haiti,Carrefour,112,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,112,Unhealthy for Sensitive Groups,18.5344,-72.4094,-1,noise,NOISE,-1.0
Turkey,Nizip,112,Unhealthy for Sensitive Groups,1,Good,47,Good,0,Good,112,Unhealthy for Sensitive Groups,37.01,37.7972,6,core,LOW,12.0
Tajikistan,Chkalovsk,111,Unhealthy for Sensitive Groups,1,Good,44,Good,0,Good,111,Unhealthy for Sensitive Groups,56.7667,43.2333,7,core,LOW,240.0
,Coatzacoalcos,111,Unhealthy for Sensitive Groups,1,Good,17,Good,2,Good,111,Unhealthy for Sensitive Groups,18.15,-94.4333,-1,noise,NOISE,-1.0
Switzerland,Volketswil,111,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,111,Unhealthy for Sensitive Groups,47.3906,8.6953,1,core,LOW,146.0
Philippines,Iba,111,Unhealthy for Sensitive Groups,1,Good,24,Good,2,Good,111,Unhealthy for Sensitive Groups,15.3333,119.9833,0,core,LOW,83.0
Mali,Kidal,111,Unhealthy for Sensitive Groups,1,Good,20,Good,0,Good,111,Unhealthy for Sensitive Groups,18.4389,1.4083,-1,noise,NOISE,-1.0
Ethiopia,Dire Dawa,111,Unhealthy for Sensitive Groups,1,Good,23,Good,1,Good,111,Unhealthy for Sensitive Groups,9.6,41.8667,-1,noise,NOISE,-1.0
Gambia,Farafenni,111,Unhealthy for Sensitive Groups,1,Good,24,Good,1,Good,111,Unhealthy for Sensitive Groups,13.5667,-15.6,-1,noise,NOISE,-1.0
India,Umarkhed,110,Unhealthy for Sensitive Groups,1,Good,35,Good,0,Good,110,Unhealthy for Sensitive Groups,19.6,77.7,-1,noise,NOISE,-1.0
Dominican Republic,Jarabacoa,110,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,110,Unhealthy for Sensitive Groups,19.1167,-70.6333,8,core,LOW,9.0
Colombia,Soledad,110,Unhealthy for Sensitive Groups,1,Good,17,Good,3,Good,110,Unhealthy for Sensitive Groups,10.9167,-74.75,9,core,LOW,17.0
Colombia,Soledad,110,Unhealthy for Sensitive Groups,1,Good,17,Good,3,Good,110,Unhealthy for Sensitive Groups,36.4432,-121.3426,10,core,LOW,162.0
United States of America,Friendswood,110,Unhealthy for Sensitive Groups,1,Good,20,Good,4,Good,110,Unhealthy for Sensitive Groups,29.511,-95.1981,11,core,LOW,98.0
Tajikistan,Panjakent,110,Unhealthy for Sensitive Groups,1,Good,45,Good,0,Good,110,Unhealthy for Sensitive Groups,39.5,67.6167,13,border,LOW,1.0
Tajikistan,Konibodom,109,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,109,Unhealthy for Sensitive Groups,40.2833,70.4167,-1,noise,NOISE,-1.0
Uzbekistan,Ohangaron,109,Unhealthy for Sensitive Groups,1,Good,64,Moderate,1,Good,109,Unhealthy for Sensitive Groups,40.9061,69.6444,12,core,LOW,4.0
Dominican Republic,Barahona,108,Unhealthy for Sensitive Groups,1,Good,29,Good,1,Good,108,Unhealthy for Sensitive Groups,18.2,-71.1,8,border,LOW,9.0
Colombia,Puerto Colombia,108,Unhealthy for Sensitive Groups,1,Good,20,Good,2,Good,108,Unhealthy for Sensitive Groups,11.0167,-74.8833,9,core,LOW,17.0
India,Sopur,108,Unhealthy for Sensitive Groups,1,Good,49,Good,0,Good,108,Unhealthy for Sensitive Groups,34.3,74.47,-1,noise,NOISE,-1.0
Uzbekistan,Samarkand,108,Unhealthy for Sensitive Groups,1,Good,52,Moderate,1,Good,108,Unhealthy for Sensitive Groups,39.6547,66.9758,13,core,LOW,1.0
Malaysia,Johor Bahru,107,Unhealthy for Sensitive Groups,1,Good,35,Good,3,Good,107,Unhealthy for Sensitive Groups,1.4556,103.7611,-1,noise,NOISE,-1.0
India,Songadh,107,Unhealthy for Sensitive Groups,1,Good,24,Good,2,Good,107,Unhealthy for Sensitive Groups,21.167,73.564,-1,noise,NOISE,-1.0
Italy,Monza,106,Unhealthy for Sensitive Groups,1,Good,33,Good,6,Good,106,Unhealthy for Sensitive Groups,45.5836,9.2736,5,core,LOW,61.0
Ethiopia,Gelemso,106,Unhealthy for Sensitive Groups,1,Good,22,Good,0,Good,106,Unhealthy for Sensitive Groups,8.8167,40.5167,-1,noise,NOISE,-1.0
Jamaica,Montego Bay,106,Unhealthy for Sensitive Groups,1,Good,19,Good,3,Good,106,Unhealthy for Sensitive Groups,18.4667,-77.9167,-1,noise,NOISE,-1.0
Cuba,Corralillo,106,Unhealthy for Sensitive Groups,1,Good,25,Good,0,Good,106,Unhealthy for Sensitive Groups,22.9856,-80.5831,4,core,LOW,40.0
Italy,Aci Catena,105,Unhealthy for Sensitive Groups,1,Good,43,Good,0,Good,105,Unhealthy for Sensitive Groups,37.6,15.1333,5,core,LOW,61.0
Italy,Olgiate Olona,105,Unhealthy for Sensitive Groups,1,Good,37,Good,4,Good,105,Unhealthy for Sensitive Groups,45.6333,8.8833,5,core,LOW,61.0
Jamaica,Half Way Tree,105,Unhealthy for Sensitive Groups,1,Good,20,Good,3,Good,105,Unhealthy for Sensitive Groups,18.0106,-76.7847,14,core,LOW,5.0
Serbia,Srbobran,105,Unhealthy for Sensitive Groups,1,Good,45,Good,0,Good,105,Unhealthy for Sensitive Groups,45.5333,19.7833,1,core,LOW,146.0
Italy,Busto Arsizio,105,Unhealthy for Sensitive Groups,1,Good,38,Good,3,Good,105,Unhealthy for Sensitive Groups,45.612,8.8518,5,core,LOW,61.0
China,Karamay,104,Unhealthy for Sensitive Groups,1,Good,41,Good,0,Good,104,Unhealthy for Sensitive Groups,45.5799,84.8892,-1,noise,NOISE,-1.0
Italy,Cusano Milanino,104,Unhealthy for Sensitive Groups,1,Good,34,Good,5,Good,104,Unhealthy for Sensitive Groups,45.55,9.1833,5,core,LOW,61.0
Italy,Nova Milanese,104,Unhealthy for Sensitive Groups,1,Good,34,Good,5,Good,104,Unhealthy for Sensitive Groups,45.5833,9.2,5,core,LOW,61.0
Colombia,Baranoa,104,Unhealthy for Sensitive Groups,1,Good,16,Good,2,Good,104,Unhealthy for Sensitive Groups,10.8,-74.9167,9,core,LOW,17.0
Kyrgyzstan,Isfana,104,Unhealthy for Sensitive Groups,1,Good,41,Good,0,Good,104,Unhealthy for Sensitive Groups,39.8389,69.5275,-1,noise,NOISE,-1.0
Mexico,Piedras Negras,104,Unhealthy for Sensitive Groups,1,Good,27,Good,3,Good,104,Unhealthy for Sensitive Groups,28.7,-100.5231,15,core,LOW,25.0
Ukraine,Horodok,103,Unhealthy for Sensitive Groups,1,Good,39,Good,1,Good,103,Unhealthy for Sensitive Groups,49.7822,23.6436,16,core,LOW,37.0
Switzerland,Aarau,103,Unhealthy for Sensitive Groups,1,Good,27,Good,2,Good,103,Unhealthy for Sensitive Groups,47.4,8.05,1,core,LOW,146.0
Jamaica,Spanish Town,103,Unhealthy for Sensitive Groups,1,Good,19,Good,3,Good,103,Unhealthy for Sensitive Groups,17.9959,-76.9551,14,core,LOW,5.0
United States of America,Pearland,103,Unhealthy for Sensitive Groups,1,Good,19,Good,4,Good,103,Unhealthy for Sensitive Groups,29.5581,-95.3218,11,core,LOW,98.0
Cuba,Banes,103,Unhealthy for Sensitive Groups,1,Good,27,Good,1,Good,103,Unhealthy for Sensitive Groups,20.9697,-75.7117,17,core,LOW,26.0
Serbia,Crvenka,103,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,103,Unhealthy for Sensitive Groups,45.6583,19.4556,1,core,LOW,146.0
United States of America,Brenham,103,Unhealthy for Sensitive Groups,1,Good,19,Good,2,Good,103,Unhealthy for Sensitive Groups,30.1584,-96.3966,-1,noise,NOISE,-1.0
Ukraine,Horodok,103,Unhealthy for Sensitive Groups,1,Good,39,Good,1,Good,103,Unhealthy for Sensitive Groups,49.1667,26.5667,16,core,LOW,37.0
India,Jalgaon,102,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,102,Unhealthy for Sensitive Groups,21.004,75.568,-1,noise,NOISE,-1.0
India,Bandipur,102,Unhealthy for Sensitive Groups,1,Good,48,Good,0,Good,102,Unhealthy for Sensitive Groups,27.9381,84.4069,-1,noise,NOISE,-1.0
Philippines,Castillejos,102,Unhealthy for Sensitive Groups,1,Good,25,Good,3,Good,102,Unhealthy for Sensitive Groups,14.9333,120.2,0,core,LOW,83.0
Haiti,Les Cayes,102,Unhealthy for Sensitive Groups,1,Good,31,Good,0,Good,102,Unhealthy for Sensitive Groups,18.2,-73.75,-1,noise,NOISE,-1.0
Switzerland,Konstanz,102,Unhealthy for Sensitive Groups,1,Good,31,Good,2,Good,102,Unhealthy for Sensitive Groups,47.6667,9.1833,1,core,LOW,146.0
Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups,8.15,39.35,-1,noise,NOISE,-1.0
Italy,Vimodrone,102,Unhealthy for Sensitive Groups,1,Good,34,Good,6,Good,102,Unhealthy for Sensitive Groups,45.5139,9.2844,5,core,LOW,61.0
Dominican Republic,Constanza,102,Unhealthy for Sensitive Groups,1,Good,35,Good,0,Good,102,Unhealthy for Sensitive Groups,18.91,-70.75,8,core,LOW,9.0
India,Medak,101,Unhealthy for Sensitive Groups,1,Good,27,Good,0,Good,101,Unhealthy for Sensitive Groups,18.046,78.263,-1,noise,NOISE,-1.0
China,Wuwei,101,Unhealthy for Sensitive Groups,1,Good,64,Moderate,0,Good,101,Unhealthy for Sensitive Groups,37.9278,102.6329,-1,noise,NOISE,-1.0
Italy,Melilli,101,Unhealthy for Sensitive Groups,1,Good,49,Good,0,Good,101,Unhealthy for Sensitive Groups,37.1833,15.1167,5,core,LOW,61.0
Pakistan,Kohat,101,Unhealthy for Sensitive Groups,1,Good,62,Moderate,0,Good,101,Unhealthy for Sensitive Groups,33.5833,71.4333,-1,noise,NOISE,-1.0
Serbia,Belgrade,101,Unhealthy for Sensitive Groups,1,Good,36,Good,4,Good,101,Unhealthy for Sensitive Groups,45.7789,-111.1736,-1,noise,NOISE,-1.0
Serbia,Belgrade,101,Unhealthy for Sensitive Groups,1,Good,36,Good,4,Good,101,Unhealthy for Sensitive Groups,44.82,20.46,1,core,LOW,146.0
,Alcudia,101,Unhealthy for Sensitive Groups,1,Good,49,Good,1,Good,101,Unhealthy for Sensitive Groups,39.8525,3.1192,18,core,LOW,23.0
India,Jangaon,101,Unhealthy for Sensitive Groups,1,Good,28,Good,0,Good,101,Unhealthy for Sensitive Groups,17.7227,79.1518,-1,noise,NOISE,-1.0
Italy,Belluno,100,Unhealthy for Sensitive Groups,1,Good,32,Good,2,Good,100,Unhealthy for Sensitive Groups,46.1403,12.2167,5,core,LOW,61.0
Philippines,Titay,100,Unhealthy for Sensitive Groups,1,Good,17,Good,0,Good,100,Unhealthy for Sensitive Groups,7.8703,122.5594,-1,noise,NOISE,-1.0
Dominican Republic,Quisqueya,100,Unhealthy for Sensitive Groups,1,Good,18,Good,4,Good,100,Unhealthy for Sensitive Groups,18.5542,-69.4056,-1,noise,NOISE,-1.0
Italy,Cormano,100,Unhealthy for Sensitive Groups,1,Good,35,Good,5,Good,100,Unhealthy for Sensitive Groups,45.55,9.1667,5,core,LOW,61.0
Armenia,Masis,100,Unhealthy for Sensitive Groups,1,Good,40,Good,0,Good,100,Unhealthy for Sensitive Groups,40.0633,44.4408,19,core,LOW,142.0
United States of America,Channelview,100,Unhealthy for Sensitive Groups,1,Good,19,Good,4,Good,100,Unhealthy for Sensitive Groups,29.7914,-95.1144,11,core,LOW,98.0
United States of America,Kingsville,99,Moderate,1,Good,19,Good,2,Good,99,Moderate,27.5094,-97.861,-1,noise,NOISE,-1.0
United States of America,Kingsville,99,Moderate,1,Good,19,Good,2,Good,99,Moderate,42.1,-82.7167,20,core,LOW,164.0
Poland,Limanowa,99,Moderate,1,Good,32,Good,2,Good,99,Moderate,49.7006,20.4267,1,core,LOW,146.0
India,Pandharpur,99,Moderate,1,Good,31,Good,1,Good,99,Moderate,17.6778,75.3278,-1,noise,NOISE,-1.0
India,Gulbarga,99,Moderate,1,Good,38,Good,0,Good,99,Moderate,17.329,76.825,-1,noise,NOISE,-1.0
Indonesia,Pasuruan,99,Moderate,1,Good,43,Good,1,Good,99,Moderate,-7.6406,112.9065,21,core,LOW,13.0
Italy,Rho,99,Moderate,1,Good,37,Good,4,Good,99,Moderate,45.5333,9.0333,5,core,LOW,61.0
Italy,Laives,99,Moderate,1,Good,21,Good,5,Good,99,Moderate,46.4228,11.3348,5,core,LOW,61.0
Italy,Formello,98,Moderate,1,Good,45,Good,1,Good,98,Moderate,42.0833,12.4,5,core,LOW,61.0
Italy,Lendinara,98,Moderate,1,Good,36,Good,5,Good,98,Moderate,45.085,11.6006,5,core,LOW,61.0
Jordan,Kuraymah,98,Moderate,1,Good,46,Good,4,Good,98,Moderate,18.55,31.85,-1,noise,NOISE,-1.0
Switzerland,Zofingen,98,Moderate,1,Good,28,Good,2,Good,98,Moderate,47.2833,7.9333,1,core,LOW,146.0
United States of America,Austin,97,Moderate,1,Good,19,Good,2,Good,97,Moderate,43.6721,-92.9784,22,core,LOW,136.0
United States of America,Austin,97,Moderate,1,Good,19,Good,2,Good,97,Moderate,30.3005,-97.7522,23,core,LOW,219.0
India,Jevargi,97,Moderate,1,Good,38,Good,0,Good,97,Moderate,17.0139,76.7732,-1,noise,NOISE,-1.0
Italy,Mariano Comense,97,Moderate,1,Good,58,Moderate,0,Good,97,Moderate,45.7,9.1833,5,core,LOW,61.0
Namibia,Mariental,97,Moderate,1,Good,20,Good,0,Good,97,Moderate,-24.6333,17.9667,-1,noise,NOISE,-1.0
United States of America,Corozal,97,Moderate,1,Good,24,Good,0,Good,97,Moderate,18.4,-88.4,24,core,LOW,19.0
United States of America,Corozal,97,Moderate,1,Good,24,Good,0,Good,97,Moderate,9.3333,-75.25,9,core,LOW,17.0
United States of America,Corozal,97,Moderate,1,Good,24,Good,0,Good,97,Moderate,18.341,-66.3124,2,core,LOW,33.0
United States of America,Humacao,97,Moderate,1,Good,25,Good,0,Good,97,Moderate,18.152,-65.8204,2,core,LOW,33.0
,Anacortes,97,Moderate,1,Good,25,Good,10,Good,97,Moderate,48.4878,-122.6292,25,core,LOW,190.0
